Title,Downloads
Rotary Alumni Global Service Award,2582
Train the Trainer Seminar Leader's Guide,2579
Promotional brochure - 2021 Rotary International Convention,2573
Expense Statement (Expense Report) (.xls),2570
Rotary Training Events,2563
Club Management Systems Field List,2543
Speeches - 2015 International Assembly,2541
Corporate Membership: Sample Bylaws,2535
Peace Corps and Rotary Fact Sheet,2534
District Service Award template,2528
Branding guidelines - 2022 Rotary International Convention,2527
Frequently Asked Questions - Rotary Foundation Alumni Association,2521
Programs of Scale Grants Proposal Guidelines,2519
District Rotary Foundation Seminar Leader's Guide,2491
Imagine DEI brochure - 2022-2023 Presidential Initiative,2472
Club Member Count by Country - Current,2465
Report Supplement for Microcredit Projects,2456
Registration  and Parent Consent Form for Children,2448
President's Message to District Conference,2448
Rotary Peace Center at Makerere University fact sheet,2447
Governor-Elect Partner Workbook - 2021 International Assembly,2441
Rotary Days brochure,2413
Jennifer Jones interview,2406
Rotary's Strategic Plan Research Methodology and Presentation of Findings,2375
Board minutes - January 2020,2355
Hotel Reservation Form - 2021 Rotary International Convention,2344
District Alumni Chair Guide,2326
PIIF Contribution Form - general public A-2,2322
Rotary Peace Centers Program Guide for Rotarians,2321
Leadership - Maloney,2314
Convention Travel Safety Tips,2311
Board minutes - August 2021,2267
Audited Financial Statements of Rotary International FY2020,2266
RITS Rotary International Travel Service Travel Request Form,2259
"Speech - K.R. Ravindran, Trustee chair-elect - 2020 International Assembly",2237
Audited Financial Statements of Rotary International FY2019,2233
2019-20 Theme address - RI President-elect Mark Daniel Maloney - 2019 International Assembly,2210
Promotional flyer - 2022 Rotary International Convention,2209
Shekhar Mehta Vision,2192
Distinguished Service Award Recipients By District,2190
Annual Report 2017-18,2185
Program - 2021 International Assembly,2175
Lead Your Club: Secretary,2167
Youth Exchange Application Schema (for programs utilizing databases),2166
How to Manage Quick Links,2151
Using the Paul Harris Society Report,2138
Increase Our Ability to Adapt white paper,2124
Current Semiannual Report (SAR) documents,2122
Our Foundation's Funding Model presentation,2119
Fact Sheet: ShelterBox and Rotary International,2111
Group Registration Form - 2022 Rotary International Convention,2106
Rotary Community Corps (RCC) infographic,2104
How Rotaractors Can Participate in Rotary Grants: Frequently Asked Questions,2093
Visual Identity Guidelines: Rotary Action Groups,2081
Rotarys Programs of Scale Grant Competition Handbook,2073
Rotary Fellowships Annual Report,2057
Audited Financial Statements of The Rotary Foundation FY2020,2047
Lead Your Club: Public Relations Committee,2026
Grants Responsibilities by Leader,2018
Global Grants Vocational Training Team Itinerary,2018
What You Need To Know As A Paul Harris Society Coordinator,2002
Be A Vibrant Club: Your Club Leadership Plan - Asia,1992
Group Registration Guidelines - 2022 Rotary International Convention,1975
Rotary Fellowships Visual Identity Guidelines,1974
Rotary Friendship Exchange presentation,1960
Car rental and personal vehicle information,1948
Cadre of Technical Advisers Training Manual,1939
List of Rotaract Multidistrict Information Organizations,1922
Speeches - 2014 International Assembly,1920
Rotaract Dues Survey Findings - Overview,1912
RYLA certificate,1910
Be A Vibrant Club: Your Club Leadership Plan - Philippines,1894
District Trainer Seminar Leader's Guide,1893
Lead Your Club: Service Projects Committee,1869
Rotary Representative Network,1861
Corporate Membership: Making the Offer,1850
Global Partnership for Education and Rotary fact sheet,1842
"Be A Vibrant Club: Your Club Leadership Plan - Australia, New Zealand",1839
How to Join a Group,1836
Rotary Action Groups presentation,1835
Youth Exchange Certificate,1825
Alumni Association of the Year Award,1802
Proposed Legislation - 2016 Council on Legislation,1793
"Rotary Diversity, Equity, and Inclusion Code of Conduct",1792
"Benefits of Membership - K.R. Ravindran, RI President",1790
Global Grant Scholar Agreement,1780
Board minutes - April 2019,1770
"Speech - John Hewko, General Secretary - 2018 International Assembly",1763
President nominating committee candidates from Zone 32,1761
Be A Vibrant Club: Your Club Leadership Plan - India,1753
District Membership Seminar Leaders' Guide,1749
Shekhar Mehta Interview,1744
Board minutes - October 2019,1737
Be a Vibrant Club: Your Club Leadership Plan - Central and South America,1716
District Youth Protection Policy,1715
Quick Start Guide for Club Websites,1713
RITS® Designated Travel Agencies,1698
Positive Peace Guide for Club Presentations,1686
Global Outlook Series: Guide to Peace Through Service,1684
Lead Your Club: Administration Committee,1683
End Polio Now lighting sample permission letter,1676
Audited Financial Statements of The Rotary Foundation FY2019,1675
Your Rotary Legacy - brochure - for print,1671
Vote Totals - 2019 Council on Legislation,1667
Cadre of Technical Advisers - Long-Term Plan,1664
Constructing Low Cost Shelters Using Global Grants,1647
Expense Statement (Expense Report) (PDF),1640
Presidential expenses,1636
Rotaract Giving Certificate Clubs,1631
Leadership - Mehta,1622
Intercountry Committees Program - 2021 Rotary Convention,1618
Be A Vibrant Club: Your Club Leadership Plan - Sub-Saharan Africa,1612
Expense Reporting Guide,1611
Download a video - Brand center,1609
Rotary Youth Exchange Safety Guidelines,1608
Open World FAQ for Host Rotary Clubs,1582
Using Virtual Reality at a Club Event,1570
Grant Model Evaluation - Year One Report,1538
President nominating committee candidates from Zone 26,1536
Sponsorship Opportunities - 2022 Rotary International Convention,1531
How to Access Rotary Club Central,1530
Rotary Citation Achievement Guide 2018-19,1514
Habitat for Humanity and Rotary Partnership Fact Sheet,1503
Candidate application overview - Rotary Peace Fellowships,1495
Rotary Foundation Five-Year Financial Results,1483
Be a Vibrant Club: Your Club Leadership Plan - Japan,1482
Donation to Annual Fund SHARE,1468
Board minutes - January 2019,1467
Group Meetings and Tours at Rotary World Headquarters,1458
Centennial logo and guidelines - The Rotary Foundation,1458
Annual Report 2016-17,1457
Rotaractor Workbook - 2020 International Assembly,1443
Maloney and Knaack letter,1429
Achieving the 2019-20 Rotary Citation During the COVID-19 Pandemic,1425
Participant Registration and Housing Form - 2022 International Assembly,1422
Work with Rotary Experts,1410
Long-Term Youth Exchange Promotional Card,1409
Rotary WASH in Schools Target Challenge Framework: A Three-Star Approach,1408
Peace Fellowships Social Change Initiative Guide,1401
Cause Marketing Relationships Guidelines,1384
Presidential Citation Recipients,1377
Be a Vibrant Club: Your Club Leadership Plan - Brazil,1370
Rotary-Toastmasters Alliance Overview,1362
The Rotarian - Print media kit,1352
Rotary International Approved Budget,1351
2018-19 Theme address - RI President-elect Barry Rassin - 2018 International Assembly,1348
How to Pay the Rotaract Club Certification Fee,1340
"Global Outlook Series: The ""Plus"" in PolioPlus",1319
Positive Peace and Rotary - club presentation,1309
Rotary Peace Centers Master’s Degree Program Fellow Handbook,1309
Global Outlook Series: Guide to Vocational Service,1293
Ways to Give,1283
Mediators Beyond Borders International: A Guide for the Rotary Family,1277
Sponsorship Opportunities - 2021 Rotary International Convention,1266
Guidelines for using RI Exchange Rates on Expense Statements,1266
The Rotary Foundation Centennial timeline,1262
Promotional Zoom backgrounds - 2022 Rotary International Convention,1262
General Secretary’s Report - 2018 Rotary Convention,1256
Mark Daniel Maloney Interview,1252
How to Manage District Committee Appointments,1243
Governors' Guidelines for President's Representative to District Conferences,1225
President nominating committee candidates from Zone 30,1215
"Rotary Diversity, Equity, and Inclusion Metrics",1211
Cadre of Technical Advisers Registration,1205
Rotary Action Groups Standard Bylaws,1204
Cooking Class Menu and Schedule - 2021 Rotary Virtual Convention,1200
Audited Financial Statements of Rotary International FY2021,1198
Rotary Project Fairs - A Guide for Organizers,1192
Publicly Traded Securities - Gifts to The Rotary Foundation - United States,1175
Reimbursable Activities of Spouse Form,1174
Paul Harris Society brochure - for print,1166
Board minutes - November and December 2020,1166
Registration book - 2022 Council on Legislation,1153
Abuse and Harassment Allegation Reporting Guidelines,1151
Important dates and deadlines for districts - Rotary Peace Fellowships,1147
Risk Management for Your District Conference,1142
"Strategic Planning and Empowerment - Stephanie Urchick, RI Strategic Planning Committee Chair - 2017 International Assembly",1139
Board minutes - October 2018,1139
Global Outlook Series: Guide to Water and Sanitation,1135
Annual Report 2011-12 - Rotary International and The Rotary Foundation,1133
Interact Club - Change of Sponsorship Form,1132
All-Member Survey Frequently Asked Questions,1127
Returning Grant Funds to The Rotary Foundation,1124
Opposition to legislation adopted by the 2019 Council on Legislation,1124
Passport Club Sample Bylaws,1117
Annual Report 2015-16 - Rotary International and The Rotary Foundation,1113
"Rotary Diversity, Equity, and Inclusion Framework",1111
Positive Peace and Rotary - district conference presentation,1094
Global Outlook Series: Guide to Advocacy for Polio Eradication,1090
Endowment Awareness Presentation,1078
Board minutes - July 2019,1067
The Rotary Foundation Centennial Speakers Bureau,1066
Rotary Global Rewards Terms of Use,1063
Audited Financial Statements of The Rotary Foundation FY2021,1045
RI Five-Year Financial Forecast,1041
RI Programs Code of Conduct,1040
Revised Constitutional Documents of Rotary International - 2010 Council on Legislation,1032
RI Treasurer’s Report - 2020 Rotary Convention,1028
The Rotary Foundation Approved Budget,1021
Ukraine locally-led efforts,1019
Programs of Scale Frequently Asked Questions,1017
MyRotary Account Manual Index,1016
Scope and Scale of Rotary International Volunteering: A Johns Hopkins Report,1007
VR Toolkit: Sample social media posts,1004
Barry Rassin - Interview,1004
Workplace Giving Programs - Frequently Asked Questions,1003
RI President’s Speech to the 2019 Rotary Convention - Barry Rassin,994
RI Vocational Service Leadership Award (for district governors) - Nomination Form,991
"Diversity, Equity, and Inclusion in Rotary Youth Exchange: Supporting LGBTQ+ Exchange Students",990
Guide to WASH in Schools,976
"Strengthening Rotary: Message, Voice & Visual Identity Early Adopters",976
Constructing Simple Schools Using Global Grants,970
Rotary 111 years birthday graphic,969
Rotary Fellowships Code of Policies,966
Hearts of Europe Global Grants Guidelines,961
Lead Your Club: Rotary Foundation Committee,959
"Speech - John F. Germ, Trustee Chair-elect - 2021 International Assembly",953
Vocational Service Leadership Award Recipients,952
Candidates for RI Director in Zone 14,947
The Important Role of Rotarians,942
Our Foundation's Funding Model presentation with slide notes,942
Open World Program Brochure,939
VR Toolkit: Ad template,932
RI President-Elects Speech - 2021 Rotary Convention - Shekhar Mehta,926
"You Are the Conductor - Cliff Dochterman, Past RI President",919
Every Rotarian Every Year brochure - USA and Canada,918
2018-19 Rotary Foundation Federal Tax Form 990,918
Ashoka and Rotary Fact Sheet,917
District Membership Chair Training Seminar Workbook,915
Create a basket - Brand center,914
Membership Society Frequently Asked Questions,911
VR Toolkit: Talking points,906
Gmail Log in Log Out,901
Open World Program - Hosting Themes (all countries),900
Global Outlook: A Rotarian's Guide to The Rotary Foundation Funding Model,899
Member Census - Frequently Asked Questions,896
Trustees meeting minutes - April and May 2020,894
Impact Begins With You,887
"""Why Polio?"" - The Rotarian - January 2014",884
Social media graphics - 2022 Rotary International Convention,883
Presentation - 2022 Rotary International Convention,878
Candidates for RI Director in Zone 6,878
U.S. IRA Charitable Distribution Rollover Forms,878
Facebook Fundraising Frequently Asked Questions,878
2018-19 Rotary International Federal Tax Form 990,876
Rotary Direct (Canada) - Rotary’s recurring giving program - form,863
SHARE and Available DDF Reports,861
President nominating committee candidates from Zone 20,853
Trustees meeting minutes - April 2020 special session,851
Lead Your Club: Membership Committee,850
Sample Constitution - Rotary Foundation Alumni Association,844
"Speech - John Hewko, General Secretary - 2021 International Assembly",832
Alternative Housing Options - 2022 Rotary International Convention,831
Unofficial Affiliate Events and Global Networking Groups - Preliminary Schedule - 2020 RI Convention,827
Festival Night Form - 2021 International Assembly,822
Rotaract Twin Club Certificate of Recognition,821
Board minutes - June 2017,817
"A Foundation to build on - The Rotarian magazine, November 2019",815
Expense Reporting Frequently Asked Questions,808
RI President’s Closing Remarks to the 2017 Rotary Convention - John F. Germ,804
Be A Vibrant Club: Your Club Leadership Plan - Great Britain and Ireland,803
Annual Report 2009-10 - Rotary International and The Rotary Foundation,799
Sample letters - 2022 Rotary International Convention,790
Cadre of Technical Advisers Infographic,790
"Speech - John Hewko, General Secretary - 2019 International Assembly",785
Board Minutes - September 2016,784
Tips for Improving Your Rotary Peace Fellowship Application,779
PR Sample Proclamation - World Rotary Day,778
Virtual Reality Safety,775
RI President-nominee’s Speech to the 2019 Rotary Convention - Holger Knaack,774
VR Toolkit: Roll-up banner,774
Paul Harris Society brochure - North America,772
Rotary Resource Guide,769
United Nations International Day Observances,768
Speech - RI President Holger Knaack - 2021 International Assembly,768
Contribution and Recognition Reports User's Guide,740
Gordon McInally Interview,739
Gordon McInally Vision Statement,738
Tools for Assessing Needs and Collecting Data - WASH in Schools,734
Rotary-Toastmasters Alliance Visual Guidelines,733
Board minutes - September 2017,731
Peace Corps collaboration letter,731
Board minutes - June 2020,727
Club Privacy Policy Template - EU,725
RI President’s Speech to the 2018 Rotary Convention - Ian H.S. Riseley,715
Mark Daniel Maloney - Vision and Goals Statement,713
Lead Your Club: Treasurer,712
Pull-up banner - 2022 Rotary International Convention,712
Annual Report 2015-16 - Interactive - Rotary International and The Rotary Foundation,702
Report of Action - 2016 Council on Legislation,696
VR Toolkit: Tabletop banner,694
Barry Rassin - Vision Statement,692
Trustees meeting minutes - April 2019,686
Board minutes - January 2021,681
Youth Program Volunteer Application,679
Board minutes - June 2018,677
Be A Vibrant Club: Your Club Leadership Plan - Middle East and North Africa,675
"Rotary Diversity, Equity, and Inclusion Terms and Explanations",673
Directors' Expenses,669
Sushil Gupta - Vision and Goals Statement,668
Rotarian Spouse/Partner Service Award Recipients,663
Trustees meeting minutes - January 2020,656
2019-20 Rotary International Federal Tax Form 990,655
Trustees meeting minutes - September 2020,649
Club Officers: Guide to Giving on Behalf of Club or Members,645
Annual Report 2014-15 - Financial Overview - Rotary International and The Rotary Foundation,642
